"","Full.Name","GICS.Sector","GICS.Sub.Industry","environmentScore","socialScore","governanceScore","totalEsg","highestControversy","percentile","ratingYear","ratingMonth","marketCap","beta","overallRisk","avg_price","total_return","avg_log_return","volatility","max_drawdown"
"PYPL","PayPal","Financials","Transaction & Payment Processing Services",2.83,9.19,5.75,17.77,"2",19.71,2023,9,73372622848,1.438,"8",65.2432414789519,-2.88281238011938,-7.01482419223062e-05,7.13826652142378,-42.0538179390966
"QCOM","Qualcomm","Information Technology","Semiconductors",5.34,4.5,5.55,15.39,"3",12.29,2023,9,187931803648,1.284,"2",141.726794356935,63.5261269050179,0.00117938270783489,31.1353200756426,-54.634727066629
"QRVO","Qorvo","Information Technology","Semiconductors",12.32,8.5,7.7,28.52,"0",63.22,2023,9,9529769984,1.457,"7",103.554353905637,30.0089748520981,0.00062933644942052,8.9560477904016,-33.8441305507961
"RCL","Royal Caribbean Group","Consumer Discretionary","Hotels, Resorts & Cruise Lines",8.15,7.68,4.88,20.71,"3",30.6,2023,9,43694575616,2.621,"9",108.518325185091,237.959347590429,0.00292027680781871,31.8683973300787,-71.6933992525783
"REG","Regency Centers","Real Estate","Retail REITs",3.72,3.21,4.77,11.71,"0",4.62,2023,9,13652682752,1.218,"1",62.1628468892221,15.6931407337284,0.000349571130755962,3.27150669927652,-24.1161122647157
"REGN","Regeneron","Health Care","Biotechnology",0.34,10.96,6.74,18.04,"2",20.59,2023,9,127109210112,0.122,"10",870.450214148708,64.4329381625831,0.00119264419748885,122.162345571401,-43.375550467261
"RF","Regions Financial Corporation","Financials","Regional Banks",1.82,6.67,8.36,16.85,"2",16.67,2023,9,20617766912,1.188,"7",19.149114848324,9.08244445879669,0.000208474296206593,2.13356707317974,-41.6249990463257
"RJF","Raymond James","Financials","Investment Banking & Brokerage",2.35,11.23,13.44,27.02,"2",56.98,2023,9,24853202944,1.03,"7",108.681794180254,12.6849486448496,0.00028639250297757,10.9885142267998,-35.7950645760518
"RL","Ralph Lauren Corporation","Consumer Discretionary","Apparel, Accessories & Luxury Goods",1.22,7.79,5.62,14.62,"2",10.27,2023,9,11238284288,1.502,"10",139.476004860618,56.9608592693822,0.00108111818767897,26.6274787524153,-44.2863158502055
"RMD","ResMed","Health Care","Health Care Equipment",3.54,12.41,10.43,26.39,"1",54.57,2023,9,36993007616,0.691,"4",195.403947602048,17.1727815777797,0.000380046582939329,28.1166994818818,-45.045305873575
"ROK","Rockwell Automation","Industrials","Electrical Components & Equipment",5.37,6.64,5.65,17.67,"2",19.34,2023,9,29864515584,1.363,"9",284.675358858975,4.05859720242707,9.54052496937752e-05,19.5020017328144,-28.4297633865088
"ROL","Rollins, Inc.","Industrials","Environmental & Facilities Services",1.76,10.63,6.92,19.31,"1",25.54,2023,9,24893739008,0.697,"9",41.8752870787844,37.2913853697016,0.000760036886565868,4.40228504245884,-35.0049414073062
"ROP","Roper Technologies","Information Technology","Electronic Equipment & Instruments",4.67,9.67,6.09,20.44,"0",29.61,2023,9,59662757888,1.022,"8",501.341483741286,27.6089821959718,0.000584653659065848,44.9610497584017,-27.0956559757659
"ROST","Ross Stores","Consumer Discretionary","Apparel Retail",1.79,10.76,5.68,18.23,"2",21.36,2023,9,50816126976,1.092,"7",125.378014176656,30.0267618315552,0.000629664516843913,15.8494528021558,-35.1652645444882
"RSG","Republic Services","Industrials","Environmental & Facilities Services",11.19,6.02,3.7,20.91,"3",31.4,2023,9,64497053696,0.707,"1",161.299378281005,61.8044906471728,0.00115400137304559,24.3018435763824,-41.5878205538322
"RVTY","Revvity","Health Care","Health Care Equipment",0.75,10.1,5.85,16.7,"2",16.28,2023,9,15145726976,1.046,"8",113.709090857985,-13.1784033970212,-0.000338884380046721,12.9500816737093,-43.1500214329015
"SBAC","SBA Communications","Real Estate","Telecom Tower REITs",3.11,3.23,5.23,11.58,"0",4.42,2023,9,26340440064,0.664,"7",228.429186551765,-19.5499355723146,-0.000521663097622737,27.4571416118928,-39.5890819794536
"SBUX","Starbucks","Consumer Discretionary","Restaurants",5.79,14.62,4.27,24.67,"3",47.54,2023,9,109285810176,0.96,"1",94.7120575060685,-6.20847170737871,-0.000153706596557572,9.82004956557484,-36.7143841261706
"SCHW","Charles Schwab Corporation","Financials","Investment Banking & Brokerage",2.39,8.95,11.94,23.28,"2",41.39,2023,9,116510556160,0.964,"10",64.1918420472214,-20.5516273682407,-0.000551709295295565,9.37721105996228,-44.6741445780019
"SHW","Sherwin-Williams","Materials","Specialty Chemicals",14.31,9.2,5.85,29.35,"2",66.41,2023,9,95620767744,1.168,"8",278.381362915039,54.3092294990257,0.00104025992057728,40.7972056394688,-43.4009258136231
"SJM","J.M. Smucker Company (The)","Consumer Staples","Packaged Foods & Meats",12.89,11.99,5.57,30.45,"2",70.6,2023,9,12862360576,0.232,"7",131.872536198374,-27.8696796383804,-0.000783442920946557,16.8724242843816,-33.9012216979441
"SLB","Schlumberger","Energy","Oil & Gas Equipment & Services",8.08,6.29,5.91,20.28,"1",29,2023,9,58923360256,1.528,"1",51.3521530662427,-14.5825210126858,-0.000377984254564552,4.85424371583937,-31.0305911699769
"SNA","Snap-on","Industrials","Industrial Machinery & Supplies & Components",9,13.91,7.62,30.53,"2",70.84,2023,9,14827014144,0.974,"5",267.572631470895,23.6986590785602,0.000510019791949514,16.0165253289388,-22.977704306109
"SNPS","Synopsys","Information Technology","Application Software",3.34,6.93,4.16,14.42,"0",9.81,2023,9,77152632832,1.078,"3",481.352919510107,62.5312903509732,0.00116474904856394,81.6702310950267,-49.2934146572202
"SO","Southern Company","Utilities","Electric Utilities",14.68,11,7.3,32.98,"2",78.44,2023,9,98390876160,0.509,"1",71.7321771503065,20.1668980421106,0.000440554934104093,5.47012624717325,-29.6455199744917
"SPG","Simon Property Group","Real Estate","Retail REITs",3.83,3.99,6.15,13.98,"1",8.73,2023,9,61818773504,1.769,"10",129.657225084077,42.3770672111746,0.000847263201811322,18.0408305665583,-39.750075476752
"SPGI","S&P Global","Financials","Financial Exchanges & Data",0,6.22,6.82,13.04,"1",6.76,2023,9,165069996032,1.177,"3",404.045574279493,53.1282542210579,0.0010218360842709,43.4542455145157,-36.7177120402087
"SRE","Sempra","Utilities","Multi-Utilities",10.86,7.85,4.88,23.59,"2",42.73,2023,9,53152604160,0.759,"7",74.0499041981674,6.92862756574427,0.000160650824491798,3.4468318893516,-20.5767870519762
"STLD","Steel Dynamics","Materials","Steel",10.56,14.36,8.06,32.98,"1",78.41,2023,9,17666150400,1.327,"2",116.329186672229,25.57529099042,0.000546127867887956,13.1326634576973,-38.4295826691391
"STT","State Street Corporation","Financials","Asset Management & Custody Banks",1.61,12.95,9.52,24.08,"1",45.05,2023,9,25887369216,1.495,"5",74.8499282125081,11.0969346669852,0.000252357121152646,6.42296830434771,-33.131442039058
"STX","Seagate Technology","Information Technology","Technology Hardware, Storage & Peripherals",1.59,3.8,5.26,10.66,"1",2.13,2021,5,21484713984,1.058,"6",77.0668420928517,91.8851214383261,0.00156289371973453,15.3969198495841,-52.6339800544931
"STZ","Constellation Brands","Consumer Staples","Distillers & Vintners",9.45,10.04,5.18,24.66,"2",47.5,2023,9,46082215936,0.873,"8",244.516961604214,5.76010556185528,0.000134300211609727,14.8060787730794,-23.5043980888478
"SWK","Stanley Black & Decker","Industrials","Industrial Machinery & Supplies & Components",5,12.51,7.8,25.31,"2",50.29,2023,9,15857777664,1.236,"4",88.4915311530446,34.3483361732024,0.000708071378239344,6.53319172753604,-29.9858577431985
"SWKS","Skyworks Solutions","Information Technology","Semiconductors",11.82,8.93,7.21,27.95,"1",60.89,2023,9,15532438528,1.204,"9",104.505837472432,21.093918605404,0.000458983801805668,7.61186477343787,-29.6983035780538
"SYF","Synchrony Financial","Financials","Consumer Finance",0.13,9.89,7.25,17.28,"2",18.01,2023,9,19441215488,1.612,"8",36.7382535888818,55.1713469238158,0.00105362058604402,6.41066068293443,-48.7552669411417
"SYK","Stryker Corporation","Health Care","Health Care Equipment",3.99,13.24,11.03,28.26,"2",62.09,2023,9,141744701440,0.919,"5",303.331961855364,46.4943361443707,0.000915627291585355,31.3467556985697,-31.7379752474187
"SYY","Sysco","Consumer Staples","Food Distributors",5.42,6.05,4.47,15.95,"2",13.88,2023,9,38230503424,1.198,"6",74.1648565502258,2.60561049163764,6.16844805944159e-05,3.99785218176226,-23.8829551212635
"T","AT&T","Communication Services","Integrated Telecommunication Services",3.26,13.94,6.72,23.91,"3",44.13,2023,9,156167831552,0.733,"1",17.0819856310575,6.18996724428933,0.000144027453151999,1.69111108672843,-34.1332039225624
"TAP","Molson Coors Beverage Company","Consumer Staples","Brewers",7.25,8.61,5.51,21.37,"2",33.42,2023,9,11506942976,0.814,"10",59.2238276905991,9.16262686048477,0.000210236388192366,5.73895345398614,-30.6211970430725
"TDG","TransDigm Group","Industrials","Aerospace & Defense",12.01,17.71,9,38.72,"2",90.45,2023,9,77178421248,1.41,"10",985.677703273353,119.443232829553,0.00188470837580964,214.714519351406,-54.4301281426744
"TEL","TE Connectivity","Information Technology","Electronic Manufacturing Services",5.81,4.44,4.55,14.8,"0",10.69,2023,9,44913152000,1.325,"5",135.502344469134,33.9612778629924,0.000701152520457814,10.452080689978,-28.1848922509322
"TER","Teradyne","Information Technology","Semiconductor Materials & Equipment",7.11,4.89,5.03,17.03,"0",17.27,2023,9,21165559808,1.492,"1",109.03540648684,59.1178811148025,0.00111384923788245,16.7334237993077,-49.2269925544598
"TFX","Teleflex","Health Care","Health Care Equipment",4.83,16.12,8.67,29.63,"2",67.48,2023,9,11376049152,1.156,"6",229.78456911516,-1.87312700430007,-4.53451372024559e-05,20.1377688781366,-34.5554671568896
"TGT","Target Corporation","Consumer Staples","Consumer Staples Merchandise Retail",1.93,7.55,4.86,14.35,"3",9.65,2023,9,70409453568,1.238,"2",145.336627138859,1.24563332423887,2.96867899441057e-05,18.1627590609849,-41.9898355663635
"TJX","TJX Companies","Consumer Discretionary","Apparel Retail",1.89,7.65,4.84,14.38,"2",9.73,2023,9,134904406016,0.889,"7",91.411842035905,48.4242418331636,0.000947013156055592,11.2902195846896,-38.833902634765
"TMO","Thermo Fisher Scientific","Health Care","Life Sciences Tools & Services",1.44,4.89,6.47,12.81,"3",6.31,2023,9,234602758144,0.778,"3",546.42401977247,11.1880428554673,0.000254322929900811,37.7729027481319,-30.6158241615851
"TMUS","T-Mobile US","Communication Services","Wireless Telecommunication Services",4.19,13.38,7.07,24.63,"3",47.33,2023,9,240183296000,0.507,"10",154.226459010366,42.9229076642386,0.000856439308532779,16.432650759121,-37.9748057594955
"TPR","Tapestry, Inc.","Consumer Discretionary","Apparel, Accessories & Luxury Goods",1.1,8.57,5.18,14.84,"2",10.81,2023,9,9963964416,1.552,"6",39.5040191212339,5.51120084660143,0.000128649713320343,5.35074309876865,-45.2317187014692
"TRGP","Targa Resources","Energy","Oil & Gas Storage & Transportation",14.23,14.75,4.24,33.21,"2",79.06,2023,9,33304543232,2.252,"8",92.9392584294223,107.926384605491,0.00175542904293236,21.3330474659188,-54.4928514284159
"TRMB","Trimble Inc.","Information Technology","Electronic Equipment & Instruments",3.76,3.43,5.23,12.41,"0",5.64,2023,9,14239768576,1.484,"2",53.1502870076011,12.035573787028,0.000272532992743238,4.87577026102537,-36.8990598944599
"TROW","T. Rowe Price","Financials","Asset Management & Custody Banks",2.39,8.95,5.57,16.91,"1",16.89,2023,9,24022775808,1.427,"6",110.526961969987,-2.84929048728799,-6.93206400982905e-05,6.66337410568402,-31.3475732895934
"TRV","Travelers Companies (The)","Financials","Property & Casualty Insurance",1.01,9.3,10.02,20.33,"1",29.15,2023,9,55218700288,0.629,"9",190.419473821467,21.8843593820027,0.000474586415612932,21.220548625561,-31.6037946267042
"TSCO","Tractor Supply","Consumer Discretionary","Other Specialty Retail",3.43,8.19,4.47,16.1,"2",14.33,2023,9,29852745728,0.799,"1",234.443301625229,19.8808121575866,0.000434838923721979,24.0290400050051,-35.2334676725533
"TSLA","Tesla, Inc.","Consumer Discretionary","Automobile Manufacturers",3.31,14.08,7.85,25.23,"3",49.93,2023,9,727962550272,2.29,"10",208.586243916927,98.0666083557892,0.00163892852271464,38.063655040495,-63.1485648654596
"TSN","Tyson Foods","Consumer Staples","Packaged Foods & Meats",14.02,12.39,9.51,35.92,"4",85.46,2023,9,22008092672,0.777,"10",55.7107894751444,1.11635078853273,2.66226758499083e-05,5.08164907992041,-31.7158017732258
"TT","Trane Technologies","Industrials","Building Products",4.39,5.71,5.11,15.2,"2",11.78,2023,9,84535984128,1.212,"5",239.493492783542,110.843587848122,0.0017888402464688,60.2907930231121,-54.8664507894987
"TXN","Texas Instruments","Information Technology","Semiconductors",7.76,5.96,6.93,20.65,"2",30.44,2023,9,183878336512,0.976,"8",173.931363374993,31.3277296248522,0.000653539006955301,14.6444816858157,-34.4499382287417
"TXT","Textron","Industrials","Aerospace & Defense",10.92,16.08,6.61,33.61,"2",80.08,2023,9,16617225216,1.231,"4",78.6527271362013,29.8035783879001,0.000625544811452518,9.10200351918225,-36.2033442047088
"UAL","United Airlines Holdings","Industrials","Passenger Airlines",10.78,12.79,5.04,28.61,"2",63.55,2023,9,17309820928,1.434,"9",46.1428946536123,18.3552862109711,0.000404126654409655,5.2690370583275,-41.1560472717863
"UDR","UDR, Inc.","Real Estate","Multi-Family Residential REITs",3.72,3.91,6.29,13.92,"1",8.57,2023,9,17647726592,0.841,"9",39.0355023562053,15.3407570498502,0.000342255793319608,2.93028662205878,-30.2310094890382
"UHS","Universal Health Services","Health Care","Health Care Facilities",3.7,20.68,8.6,32.98,"3",78.43,2023,9,15676926976,1.282,"10",154.565597917475,66.8676812300846,0.0012278920489386,26.3802118020875,-51.0274403001564
"ULTA","Ulta Beauty","Consumer Discretionary","Other Specialty Retail",4.08,7.25,4.28,15.61,"2",12.91,2023,9,18704535552,1.312,"3",453.838468487753,-25.187118570719,-0.000695875549671403,60.492684432169,-43.4835516181182
"UNH","UnitedHealth Group","Health Care","Managed Health Care",0.03,9.67,5.59,15.3,"3",12.06,2023,9,533698674688,0.595,"2",505.270072097413,13.7976236961009,0.000309955525374172,29.9817905262606,-25.7568830790434
"UNP","Union Pacific Corporation","Industrials","Rail Transportation",7.3,10.55,5.6,23.45,"2",42.06,2023,9,154462158848,1.053,"1",221.943971515272,23.369300548671,0.000503626173951455,18.8231720650493,-27.7100935839914
"UPS","United Parcel Service","Industrials","Air Freight & Logistics",4.17,8.91,5.49,18.57,"2",22.59,2023,9,110421450752,0.977,"9",159.992990466396,-26.6601985697062,-0.000743565301849302,18.8396114853873,-37.0912613055384
"URI","United Rentals","Industrials","Trading Companies & Distributors",5.32,6.13,5.42,16.86,"1",16.73,2023,9,51007975424,1.681,"1",525.343349183005,107.804666962623,0.00175402482335792,127.116094502782,-56.8709537301745
"USB","U.S. Bank","Financials","Diversified Banks",1.75,15.5,13.01,30.26,"3",69.91,2023,9,69739225088,1.054,"1",39.2533732373178,5.80197174731254,0.000135249328094719,5.1477101247691,-42.4096370591257
"V","Visa Inc.","Financials","Transaction & Payment Processing Services",1.81,8.22,6.65,16.68,"3",16.22,2023,9,567340761088,0.963,"3",249.845837606768,33.2610038721964,0.00068858382326775,21.082563369871,-28.5773313782128
"VLO","Valero Energy","Energy","Oil & Gas Refining & Marketing",20.15,7.42,4.99,32.56,"2",77.18,2023,9,43507605504,1.381,"5",137.061961671382,22.2342507567903,0.000481460685617539,16.5005829636832,-43.1212182203205
"VMC","Vulcan Materials Company","Materials","Construction Materials",13.42,6.81,9.05,29.28,"2",66.1,2023,9,32370546688,0.815,"6",220.79976084586,39.2447462890644,0.000793915979576134,31.1663528840133,-41.5726236757011
"VRSK","Verisk","Industrials","Research & Consulting Services",0.05,12.49,4.98,17.53,"1",18.83,2023,9,38368903168,0.863,"5",229.743205531362,53.8400885068293,0.00103295801105437,27.4047638833086,-40.169234430155
"VRSN","Verisign","Information Technology","Internet Services & Infrastructure",4.74,10.77,5.79,21.3,"1",33.12,2023,9,17847136256,0.903,"4",200.32894744143,-8.92432866277252,-0.000224171395356531,15.6142325172628,-26.3498677391307
"VRTX","Vertex Pharmaceuticals","Health Care","Biotechnology",0.75,15.4,6.57,22.72,"2",38.93,2023,9,126323048448,0.406,"8",380.938900012149,73.3759994741954,0.00131964618091558,59.3219809623431,-44.0013421507562
"VTR","Ventas","Real Estate","Health Care REITs",3.42,3.89,5.56,12.86,"0",6.43,2023,9,26731040768,1.388,"3",46.981650740336,36.8966322957138,0.000753131765622564,4.25384623701337,-36.1616468584117
"VZ","Verizon","Communication Services","Integrated Telecommunication Services",3.74,9.59,5.39,18.73,"3",23.13,2023,9,185555648512,0.407,"1",38.0233254318602,4.13758696811143,9.72249171230011e-05,2.98370409127214,-28.4080299555246
"WAB","Wabtec","Industrials","Construction Machinery & Heavy Transportation Equipment",5.36,11.99,5.98,23.33,"2",41.6,2023,9,30504617984,1.273,"5",124.393325495378,69.9779507749579,0.00127217875617854,24.3233291046555,-45.7193081942874
"WAT","Waters Corporation","Health Care","Life Sciences Tools & Services",1.35,8.19,5.09,14.62,"0",10.29,2023,9,19528284160,0.955,"7",302.351100538336,0.219916598766916,5.26798887675945e-06,30.3934802993816,-34.5753085055548
"WBA","Walgreens Boots Alliance","Consumer Staples","Drug Retail",1.79,9.29,5.18,16.25,"3",14.82,2023,9,7821272064,0.683,"7",24.4243301455484,-75.1277215876075,-0.00333672978294075,7.86455420262632,-75.470696832213
"WDC","Western Digital","Information Technology","Technology Hardware, Storage & Peripherals",1.48,3.91,6.05,11.43,"2",4.2,2023,9,22630051840,1.38,"8",51.1228708148573,108.81883685617,0.0017656999539081,14.0078280131418,-60.8549343424216
"WEC","WEC Energy Group","Utilities","Electric Utilities",13.36,8.96,5.13,27.46,"1",58.73,2023,9,30387875840,0.435,"4",85.9483731283526,-1.20009010074754,-2.89532210685169e-05,5.67976237721858,-22.4858074233762
"WELL","Welltower","Real Estate","Health Care REITs",4.24,3.49,5.5,13.23,"1",7.15,2023,9,78689722368,1.201,"3",87.4295453523335,80.2539295087217,0.00141294098384922,12.1491222349465,-45.6843129578023
"WFC","Wells Fargo","Financials","Diversified Banks",2.05,14.75,19.43,36.24,"5",86.5,2023,9,185539510272,1.161,"5",48.0060048080517,39.9138548450671,0.000805411809825831,7.57892675665408,-41.88322192243
"WM","Waste Management","Industrials","Environmental & Facilities Services",8.09,5.24,3.32,16.65,"2",16.09,2023,9,83601956864,0.753,"1",178.956961855364,35.0315194131483,0.000720235113508933,22.488295961553,-33.3944936837353
"WMB","Williams Companies","Energy","Oil & Gas Storage & Transportation",8.72,10.13,2.96,21.82,"2",35.38,2023,9,55497883648,1.079,"3",35.2675358758589,42.3639137961516,0.00084704164633591,4.36405640000317,-38.1691086868665
"WMT","Walmart","Consumer Staples","Consumer Staples Merchandise Retail",5.86,12.36,7.05,25.26,"3",50.05,2023,9,631806427136,0.515,"3",55.8196809577029,61.3440112974539,0.00114716694388075,7.31903545687922,-40.8822169915095
"WRB","W. R. Berkley Corporation","Financials","Property & Casualty Insurance",1.97,7.95,11.91,21.83,"1",35.44,2023,9,22357321728,0.623,"9",47.3687639920905,23.3811016696738,0.000503855555951516,6.35368493551405,-37.8224481448782
"WTW","Willis Towers Watson","Financials","Insurance Brokers",0.07,7.83,10.76,18.66,"2",22.89,2023,9,29749815296,0.745,"7",243.230358799108,19.1410368209938,0.000419994697164884,22.2024458031908,-32.765052978209
"WY","Weyerhaeuser","Real Estate","Timber REITs",9.05,4.18,3.45,16.68,"2",16.23,2023,9,24183224320,1.418,"3",31.5580862355574,-1.19896575474884,-2.89259309825293e-05,1.96237608131877,-24.7147258354909
"WYNN","Wynn Resorts","Consumer Discretionary","Casinos & Gaming",3.37,11.75,10.58,25.7,"2",52,2023,9,8879360000,1.799,"8",97.2742824280661,-10.1974106934862,-0.000257928961504495,9.54365296350175,-36.501768204204
"XEL","Xcel Energy","Utilities","Multi-Utilities",12.7,9.26,4.49,26.45,"2",54.78,2023,9,35992227840,0.397,"2",60.568062312295,-12.6159557458095,-0.000323399232646078,5.41378518709321,-33.4432544116938
"XOM","ExxonMobil","Energy","Integrated Oil & Gas",23.11,10.01,8.48,41.6,"3",93.17,2023,9,507282325504,0.878,"7",110.006770284552,10.731386795539,0.000244453582160852,6.12200127280265,-20.7855929057368
"XYL","Xylem Inc.","Industrials","Industrial Machinery & Supplies & Components",4.27,8.66,5.19,18.13,"1",20.92,2023,9,32338771968,1.037,"3",114.06980861317,24.1693717287405,0.000519127934438681,15.3634972130808,-39.8698157099979
"YUM","Yum! Brands","Consumer Discretionary","Restaurants",4.53,11.45,4.12,20.1,"2",28.34,2023,9,37833572352,1.081,"2",132.013588280199,6.26969056543273,0.000145827164544444,5.39060870751402,-18.8141643844375
"ZBH","Zimmer Biomet","Health Care","Health Care Equipment",3.6,14.52,7.89,26.02,"2",53.22,2023,9,21635987456,1.026,"2",122.311483337548,-9.28661204288669,-0.00023372957490514,10.2661360367569,-29.4505515695697
"ZTS","Zoetis","Health Care","Pharmaceuticals",3.24,6.81,8.72,18.77,"2",23.36,2023,9,88666619904,0.883,"3",175.444832651239,24.9506284417998,0.000534169066730068,11.4194834365192,-27.3077117245673
